,h,k
0,THYME COTTAGE,WILLEN
1,50,SUNDERLAND
2,19,COGGESHALL
3,37,SHIRLEY
4,59,BRIERLEY HILL
5,22,ROTHERHAM
6,4,FARCET
7,38,MACCLESFIELD
8,592,YNYSTAWE
9,26,NORWICH
10,6,WALSALL
11,139B,CHELTENHAM
12,56,BECKENHAM
13,25,LIVERPOOL
14,208,LONDON
15,57,NORTHOLT
16,CLARENCE COURT,BLACKPOOL
17,21,CORBRIDGE
18,8,WORCESTER
19,5,SLEAFORD
20,9,BRISTOL
21,THYME COTTAGE,IDSTONE
22,40,CHERTSEY
23,36,LUTON
24,41,MANCHESTER
25,15,HOVE
26,8,ASHBY-DE-LA-ZOUCH
27,28,SUTTON COLDFIELD
28,148,HANHAM
29,80,BARTON SEAGRAVE
30,64,CHALFONT ST. GILES
31,49,LONDON
32,5,BELPER
33,32,BRISTOL
34,2,HOLMER
35,1,GREAT ROLLRIGHT
36,34,WHITFIELD
37,"SOMERS PLACE, 83 - 85",REIGATE
38,238,CHADDERTON
39,54,SOUTHWELL
40,24,STREET
41,15,BERKSWELL
42,ARLINGTON HOUSE,MARGATE
43,4,CHATHAM
44,108,SHEFFIELD
45,12,STOCKPORT
46,WHITE HOUSE COTTAGE,BARWELL
47,16,HULL
48,209,ILFORD
49,"BROOKLYN COURT, 476",BOURNEMOUTH
50,179,FARNBOROUGH
51,80,LONDON
52,5,BOGNOR REGIS
53,26,BLACKWOOD
54,23,CHEADLE
55,9,WEST BRIDGFORD
56,14,LOWER EARLEY
57,18,NEWPORT
58,35,TARLETON
59,184,LONDON
61,1,GORING
62,16,STOKE-ON-TRENT
63,100,KESGRAVE
64,6,FAILSWORTH
65,19,CANVEY ISLAND
66,1055,LEIGH-ON-SEA
67,11,BECCLES
68,14,LEYSDOWN ON SEA
69,36B,
70,25,HAVERHILL
71,5,MAIDENHEAD
72,104,SUTTON
73,"ASHCOMBE COURT, 43",WESTON-SUPER-MARE
74,7,BISHOP BURTON
75,44,WYNYARD
76,21,PICKERING
77,144,LEIGH
78,LOXLEY,PLEASLEY
79,5,BRIGHTON
80,7,MANCHESTER
81,27,
82,3,CHAPEL BRAMPTON
83,1,HALIFAX
84,18,NUNEATON
85,43,SYSTON
86,31,NEWTHORPE
87,38,OSWESTRY
88,22,JARROW
89,6,ROSSETT
90,7,CHALGROVE
91,40,FAZELEY
92,9,HAREFIELD
93,CHESTER COURT,LONDON
94,9,BROXBOURNE
95,3,COBHAM
96,109,BOOTLE
97,14,SOUTHSEA
98,13,BARRY
99,54,BIRMINGHAM
100,18,WYMESWOLD
101,51,ALDERSHOT
102,265,WELLAND
103,37,MALDON
104,28,KETTERING
105,7A,BROMLEY
106,2,NEWARK
107,21,HARLESTON
108,76,LONDON
109,39,BURTON-ON-TRENT
110,4,BRINSWORTH
111,20,EAST COWES
112,30,HEDGE END
113,77,LONDON
114,41,NUNEATON
115,8 - 10,BOURNEMOUTH
116,19,KINGSNORTH
117,11,STRENSALL
