,tui,postcode,type,age,duration,paon,saon,street,loc,city,dist,main_dist,ppd,rec_stat
180,{49FB2E2B-BB92-4F33-91C7-4BBC5258D666},B27 6RX,S,N,F,12,,HANBURY CROFT,BIRMINGHAM,BIRMINGHAM,BIRMINGHAM,WEST MIDLANDS,A,A
333,{5A4E3AD8-5AC3-47EC-85BE-5A0BEB49195C},SO15 2RZ,T,Y,F,12,,ARLOTT COURT,SOUTHAMPTON,SOUTHAMPTON,SOUTHAMPTON,SOUTHAMPTON,A,A
334,{9B6FF4CB-3FD0-4B7C-A408-5A0C0481377E},CM1 2LB,S,N,F,156,,AVON ROAD,CHELMSFORD,CHELMSFORD,CHELMSFORD,ESSEX,A,A
335,{F4C9B9D9-EF3E-4855-A739-52F08DF4834A},BN6 8UE,D,N,F,4,,BARNFIELD GARDENS,DITCHLING,HASSOCKS,LEWES,EAST SUSSEX,A,A
336,{AF16BBEC-3E34-4E3A-BF71-5672DCFA6553},BN44 3YR,D,N,F,41,,KINGS BARN LANE,STEYNING,STEYNING,HORSHAM,WEST SUSSEX,A,A
337,{5A0CB75D-FFB7-4764-932A-5672DE47984A},SL3 8JX,F,N,L,26,,BRIDGEWATER COURT,SLOUGH,SLOUGH,SLOUGH,SLOUGH,A,A
338,{5A77BC03-713A-4035-B903-5672E7238836},CV3 5PQ,T,N,F,36,,CALVERT CLOSE,CHEYLESMORE,COVENTRY,COVENTRY,WEST MIDLANDS,A,A
339,{5281BC34-F72B-4D23-8D17-5672E954989C},NG18 2SA,T,N,F,1,,FISHER LANE,MANSFIELD,MANSFIELD,MANSFIELD,NOTTINGHAMSHIRE,A,A
340,{35A4DB4C-BF25-4A99-8465-5672F562CDF2},SG12 8EL,F,N,L,128,,RIVER MEADS,STANSTEAD ABBOTTS,WARE,EAST HERTFORDSHIRE,HERTFORDSHIRE,A,A
341,{995312AA-57E6-4089-BA5D-56729C17B78A},SL2 3BJ,D,Y,F,STOKE PARK HOUSE,,STOKE PARK AVENUE,FARNHAM ROYAL,SLOUGH,SOUTH BUCKS,BUCKINGHAMSHIRE,A,A
